IP, IX_country, MM_country, IP_country, IP2_country, IX_city, MM_city, IP_city, IP2_city, IX_lat, MM_lat, IP_lat, ip2_lat, IX_long, MM_long, IP_long, IP2_long, IXMM_distance, IXIP_distance, IXIP2_distance, MMIP_distance, MMIP2_distance, IPIP2_distance, IXMMIPIP2_distance_agreement, IXMMIPIP2_country_agreement
64.125.24.150,US,US,US,US,Chicago,,New York City,Louisville,41.88,37.751,40.7143,39.96642,-87.63,-97.822,-74.006,-105.1542,10.996613342298,13.673779012767,17.628368445673,23.999645890929,7.6595850159392,31.157177146436,1,1
64.125.20.246,US,US,US,US,Chicago,,New York City,Baltimore,41.88,37.751,40.7143,39.29038,-87.63,-97.822,-74.006,-76.61219,10.996613342298,13.673779012767,11.3180505804,23.999645890929,21.265599709872,2.9698105128947,1,1
66.110.8.38,GB,US,CA,US,London,,Montréal,Herndon,51.511681,37.751,45.5088,38.92451,-0.00255,-97.822,-73.5878,-77.40187,98.782595328764,73.829693199028,78.416143811371,25.445626549173,20.453822012939,7.6092052652692,0,0
66.163.76.57,CA,CA,CA,CA,Winnipeg,Winnipeg,Vancouver,Calgary,49.9,49.8179,49.2497,51.050743,-97.13,-97.1535,-123.1193,-114.07595,0.085397072549353,25.997434576896,16.984976622137,25.972016111192,16.967298425652,9.22095087886,0,1
96.1.223.169,CA,CA,CA,CA,Winnipeg,,Burnaby,Burnaby,49.9,43.6319,49.2302,49.232426,-97.13,-79.3716,-122.9952,-123.02326,18.832149324227,25.873871049381,25.901864189148,43.981353319901,44.00946843842,0.028148155818806,0,1
75.154.217.0,CA,CA,CA,CA,Calgary,,Burnaby,Burnaby,51.05,43.6319,49.2302,49.232426,-114.06,-79.3716,-122.9952,-123.02326,35.472712078019,9.1186331804717,9.1456877856767,43.981353319901,44.00946843842,0.028148155818806,0,1
216.187.118.245,CA,CA,CA,CA,Markham,Vancouver,Vancouver,Vancouver,43.821276,49.2526,49.2497,49.24966,-79.237719,-123.1236,-123.1193,-123.11934,44.220694607154,44.21607103965,44.216105826261,0.0051865209919587,0.0051760216382887,5.6568542492782E-5,0,1
184.105.41.66,US,US,US,US,Chicago,Woodbine,Woodbine,Neola,41.88,41.7373,41.7383,41.45208,-87.63,-95.7008,-95.7028,-95.61773,8.0720614424074,8.0740435179655,7.9991840883493,0.0022360679774978,0.29707082202734,0.29859469737422,1,1
206.108.35.37,CA,CA,CA,CA,Toronto,,Toronto,Toronto,43.644671,43.6319,43.6404,43.649242,-79.384241,-79.3716,-79.3995,-79.39096,0.017969232649172,0.01584545745632,0.0081264384572849,0.029166076184501,0.025991432511507,0.012292785038386,1,1
184.105.143.82,US,US,US,US,San Jose,San Martin,San Jose,New York City,37.34,37.0914,37.3394,40.71427,-121.89,-121.6067,-121.895,-74.00597,0.3769096045473,0.0050358713248018,48.002771035366,0.38029053367129,47.738398418567,48.007800843798,1,1
64.71.166.226,US,US,US,US,Salt Lake City,,Phoenix,Fremont,40.75,37.751,33.4484,37.51798,-111.88,-97.822,-112.074,-121.92949,14.374330071346,7.30417678866,10.556429440891,14.887305691763,24.108616144866,10.662652789831,1,1
206.248.141.14,CA,CA,CA,CA,Montreal,Toronto,Chatham,Chatham,45.51,43.6591,42.4122,42.38095,-73.55,-79.4626,-82.1849,-82.218735,6.1955362616968,9.173759471994,9.2161771034809,2.9942740188567,3.0380828758816,0.046058329594111,1,1
